record_id,year,series,title,doi,doi_url,pmid,pubmed_url
402,2016,PRIMARY,"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among African American and European American Women in South Carolina",10.14423/smj.0000000000000396,https://doi.org/10.14423/smj.0000000000000396,26741869,https://pubmed.ncbi.nlm.nih.gov/26741869/
405,2013,PRIMARY,A trend analysis of breast cancer incidence rates in the United States from 2000 to 2009 shows a recent increase,10.1007/s10549-013-2434-0,https://doi.org/10.1007/s10549-013-2434-0,23446808,https://pubmed.ncbi.nlm.nih.gov/23446808/
411,2015,ARN,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state",10.1093/jnci/djv048,https://doi.org/10.1093/jnci/djv048,25825511,https://pubmed.ncbi.nlm.nih.gov/25825511/
413,2005,ARN,"Annual report to the nation on the status of cancer, 1975-2002, featuring  population-based trends in cancer treatment",10.1093/jnci/dji289,https://doi.org/10.1093/jnci/dji289,16204691,https://pubmed.ncbi.nlm.nih.gov/16204691/
415,2006,PRIMARY,Women's cancers among Alaska Natives 1969-2003.,,,17929614,https://pubmed.ncbi.nlm.nih.gov/17929614/
419,2011,PRIMARY,Higher population-based incidence rates of triple-negative breast cancer among young African-American women,10.1002/cncr.25862,https://doi.org/10.1002/cncr.25862,21656753,https://pubmed.ncbi.nlm.nih.gov/21656753/
424,2002,PRIMARY,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites,,,12223421,https://pubmed.ncbi.nlm.nih.gov/12223421/
425,2025,PRIMARY,Regional disparities in incidence and outcomes of invasive ductal carcinoma of the breast among Asian and Pacific Islander women in the United States,10.1016/j.canep.2025.102861,https://doi.org/10.1016/j.canep.2025.102861,40543242,https://pubmed.ncbi.nlm.nih.gov/40543242/
426,2025,PRIMARY,"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019",10.1016/j.clbc.2024.12.015,https://doi.org/10.1016/j.clbc.2024.12.015,39837694,https://pubmed.ncbi.nlm.nih.gov/39837694/
427,2025,PRIMARY,"The role of ethnic enclaves and neighborhood socioeconomic status in invasive breast cancer incidence rates among Asian American, Native Hawaiian, and Pacific Islander females in California",10.1007/s10552-024-01907-y,https://doi.org/10.1007/s10552-024-01907-y,39438356,https://pubmed.ncbi.nlm.nih.gov/39438356/
428,2007,PRIMARY,Women's cancers among Alaska Natives: [corrected] 1969-2003.,,,18323374,https://pubmed.ncbi.nlm.nih.gov/18323374/
